"site","year","type","abund_code","species_code","name"
226,1992,"tree",1,105.00,"Jack Pine"
226,1994,"tree",1,746.00,"Quaking Aspen"
227,1991,"tree",1,105.00,"Jack Pine"
227,1992,"tree",1,105.00,"Jack Pine"
227,1994,"tree",1,746.00,"Quaking Aspen"
228,1991,"tree",1,746.00,"Quaking Aspen"
-926,1992,"tree",1,129.00,"White Pine"
-926,1993,"tree",1,129.00,"White Pine"
-926,1994,"tree",1,746.00,"Quaking Aspen"
-135,1991,"tree",1,375.00,"Paper Birch"
-135,1992,"tree",1,802.00,"White Oak"
-134,1991,"tree",1,375.00,"Paper Birch"
-134,1992,"tree",1,746.00,"Quaking Aspen"
-133,1991,"tree",1,375.00,"Paper Birch"
-133,1992,"tree",1,125.00,"Red Pine"
-132,1991,"tree",1,746.00,"Quaking Aspen"
-132,1992,"tree",1,746.00,"Quaking Aspen"
-132,1994,"tree",1,746.00,"Quaking Aspen"
-131,1991,"tree",1,746.00,"Quaking Aspen"
-131,1992,"tree",1,746.00,"Quaking Aspen"
-131,1994,"tree",1,746.00,"Quaking Aspen"
-130,1991,"tree",1,375.00,"Paper Birch"
-130,1992,"tree",1,375.00,"Paper Birch"
-130,1994,"tree",1,125.00,"Red Pine"
1,1991,"tree",1,125.00,"Red Pine"
1,1992,"tree",1,125.00,"Red Pine"
1,1993,"tree",1,125.00,"Red Pine"
1,1994,"tree",1,125.00,"Red Pine"
2,1991,"tree",1,125.00,"Red Pine"
2,1992,"tree",1,125.00,"Red Pine"
2,1993,"tree",1,125.00,"Red Pine"
2,1994,"tree",1,125.00,"Red Pine"
3,1991,"tree",1,125.00,"Red Pine"
3,1992,"tree",1,125.00,"Red Pine"
3,1993,"tree",1,125.00,"Red Pine"
3,1994,"tree",1,125.00,"Red Pine"
4,1991,"tree",1,105.00,"Jack Pine"
4,1992,"tree",1,125.00,"Red Pine"
4,1993,"tree",1,105.00,"Jack Pine"
4,1994,"tree",1,125.00,"Red Pine"
5,1991,"tree",1,105.00,"Jack Pine"
5,1992,"tree",1,125.00,"Red Pine"
5,1993,"tree",1,105.00,"Jack Pine"
5,1994,"tree",1,105.00,"Jack Pine"
6,1991,"tree",1,105.00,"Jack Pine"
6,1992,"tree",1,125.00,"Red Pine"
6,1993,"tree",1,105.00,"Jack Pine"
6,1994,"tree",1,105.00,"Jack Pine"
7,1991,"tree",1,125.00,"Red Pine"
7,1992,"tree",1,125.00,"Red Pine"
7,1993,"tree",1,125.00,"Red Pine"
7,1994,"tree",1,125.00,"Red Pine"
8,1991,"tree",1,125.00,"Red Pine"
8,1992,"tree",1,746.00,"Quaking Aspen"
8,1993,"tree",1,125.00,"Red Pine"
8,1994,"tree",1,125.00,"Red Pine"
9,1991,"tree",1,12.00,"Balsam Fir"
9,1992,"tree",1,746.00,"Quaking Aspen"
9,1993,"tree",1,12.00,"Balsam Fir"
9,1994,"tree",1,105.00,"Jack Pine"
10,1991,"tree",1,105.00,"Jack Pine"
10,1992,"tree",1,746.00,"Quaking Aspen"
10,1993,"tree",1,105.00,"Jack Pine"
10,1994,"tree",1,105.00,"Jack Pine"
11,1991,"tree",1,105.00,"Jack Pine"
11,1992,"tree",1,105.00,"Jack Pine"
11,1993,"tree",1,105.00,"Jack Pine"
11,1994,"tree",1,105.00,"Jack Pine"
12,1991,"tree",1,105.00,"Jack Pine"
12,1992,"tree",1,375.00,"Paper Birch"
12,1993,"tree",1,105.00,"Jack Pine"
12,1994,"tree",1,105.00,"Jack Pine"
13,1991,"tree",1,375.00,"Paper Birch"
