forest,dist/cty,comp/trs,Site,year,logged,type of cut,in site table?,in drop table?,% cleared,veg done?,comments
9099,55,,2115,2001,1,select cut,x,,,,
9099,79,,2093,2000,1,clearcut,x,,,,
9090,9095,10,782,2000,,blowdown,,,0.2,x,
9090,9095,3,795,2000,,blowdown,,,,,
9090,9095,3,796,2000,,blowdown,,,,,
9020,9021,53,1549,2001,,blowdown,,,0.7,x,
9020,9021,53,1550,2001,,blowdown,,,0.9,x,
9020,9021,102,1572,2002,,blowdown,,,0.5,,
9020,9022,141,1519,2006,,blowdown,,,0.4,,
9020,9022,142,1526,1999,,blowdown,,,0.3,x,
9020,9023,133,1624,2003,,blowdown,,,0.4,,
9020,9023,133,1619,2003,,blowdown,logged in 2004,,0.7,,
9020,9023,133,1620,2003,,blowdown,logged in 2004,,0.85,,
9020,9023,132,1630,2003,,blowdown,,,0.5,,
9020,9023,144,1546,2005,,blowdown,,,0.6,,
9020,9023,144,1547,2005,,blowdown,,,0.3,,
9030,9035,93,56,2005,,beaver pond,,,40,,
9090,9095,,437,2011,1,clearcut,,,,,
9090,9095,,438,2011,1,clearcut,,,,,
9090,9095,,439,2011,1,clearcut,,,,,
