"fstype","fstypename","fine3","newname","age","age_class","age2","upl_low","broad","broad2","con","con_decid_mixed","decid","fine1","fine2"
"059","Hemlock","hem","Hemlock/Mixed","saw","saw","non-regen","upl","upl conif","upl conif","conif","conif","not decid","hem","hem"
"111","Fir/Aspen/PB","conif regen","Fir/Aspen/PB","regeneration","regen","regen","upl","upl mixed","upl conif regen","conif","mixed","decid","upl regen","not used"
"112","Fir/Aspen/PB","conif regen","Fir/Aspen/PB","regeneration","regen","regen","upl","upl mixed","upl conif regen","conif","mixed","decid","upl regen","not used"
"113","Fir/Aspen/PB","conif regen","Fir/Aspen/PB","regeneration","regen","regen","upl","upl mixed","upl conif regen","conif","mixed","decid","upl regen","not used"
"114","Fir/Aspen/PB","fab pole","Fir/Aspen/PB","pole","pole","non-regen","upl","upl mixed","upl mixed","conif","mixed","decid","fab","fab"
"115","Fir/Aspen/PB","fab pole","Fir/Aspen/PB","pole","pole","non-regen","upl","upl mixed","upl mixed","conif","mixed","decid","fab","fab"
"116","Fir/Aspen/PB","fab pole","Fir/Aspen/PB","pole","pole","non-regen","upl","upl mixed","upl mixed","conif","mixed","decid","fab","fab"
"117","Fir/Aspen/PB","fab saw","Fir/Aspen/PB","saw","saw","non-regen","upl","upl mixed","upl mixed","conif","mixed","decid","fab","fab"
"118","Fir/Aspen/PB","fab saw","Fir/Aspen/PB","saw","saw","non-regen","upl","upl mixed","upl mixed","conif","mixed","decid","fab","fab"
"119","Fir/Aspen/PB","fab saw","Fir/Aspen/PB","saw","saw","non-regen","upl","upl mixed","upl mixed","conif","mixed","decid","fab","fab"
"121","Black spruce","not used","Bl. spruce/Tamarack","regeneration","regen","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","not used","not used"
"122","Black spruce","not used","Bl. spruce/Tamarack","regeneration","regen","non-regen","low","lowl conif","lowl conif","conif","conif","not decid","not used","not used"
