"forest","standunique","site"
9030.00,152.00,295
9030.00,153.00,242
9030.00,153.00,243
9030.00,154.00,292
9030.00,154.00,294
9030.00,155.00,298
9030.00,155.00,300
9030.00,157.00,314
9030.00,157.00,315
9030.00,158.00,312
9030.00,158.00,309
9030.00,159.00,311
9030.00,159.00,310
9030.00,160.00,306
9030.00,160.00,305
9030.00,161.00,318
9030.00,161.00,316
9030.00,162.00,84
9030.00,162.00,82
9030.00,163.00,86
9030.00,163.00,87
9030.00,164.00,90
9030.00,164.00,89
9030.00,165.00,91
9030.00,165.00,93
9030.00,166.00,321
9030.00,166.00,319
9030.00,167.00,323
9030.00,167.00,322
9030.00,168.00,327
9030.00,168.00,325
9030.00,169.00,302
9030.00,169.00,301
9030.00,171.00,98
9030.00,171.00,99
9030.00,172.00,94
9030.00,172.00,96
9030.00,173.00,117
9030.00,173.00,116
9030.00,174.00,106
9030.00,174.00,108
9030.00,175.00,111
9030.00,175.00,110
9030.00,177.00,100
9030.00,177.00,102
9030.00,178.00,112
9030.00,178.00,113
9030.00,179.00,199
9030.00,179.00,197
9030.00,181.00,205
9030.00,181.00,204
9030.00,182.00,194
9030.00,182.00,196
9030.00,183.00,228
9030.00,183.00,229
9030.00,184.00,207
9030.00,184.00,206
9030.00,185.00,3031
9030.00,185.00,3030
9030.00,186.00,209
9030.00,186.00,211
9030.00,187.00,212
9030.00,187.00,214
9030.00,188.00,216
9030.00,188.00,215
9030.00,189.00,218
9030.00,189.00,219
9030.00,190.00,221
9030.00,190.00,223
9030.00,191.00,224
9030.00,191.00,226
9030.00,192.00,367
9030.00,192.00,291
9030.00,193.00,370
9030.00,193.00,369
9030.00,194.00,371
9030.00,194.00,373
9030.00,196.00,909
9030.00,196.00,910
9030.00,197.00,907
9030.00,197.00,906
9030.00,198.00,911
9030.00,198.00,913
9030.00,200.00,167
9030.00,200.00,169
9030.00,201.00,156
9030.00,201.00,157
9030.00,202.00,164
9030.00,202.00,165
9030.00,203.00,158
9030.00,203.00,159
9030.00,204.00,161
9030.00,204.00,162
9030.00,205.00,348
9030.00,205.00,346
9030.00,206.00,350
9030.00,206.00,351
9030.00,207.00,354
9030.00,207.00,352
9030.00,208.00,340
9030.00,208.00,341
9030.00,209.00,345
9030.00,209.00,344
9030.00,210.00,363
9030.00,210.00,362
9030.00,211.00,364
9030.00,211.00,365
9030.00,212.00,360
9030.00,212.00,358
9030.00,213.00,356
9030.00,213.00,355
9030.00,215.00,332
9030.00,215.00,331
9030.00,218.00,175
9030.00,218.00,173
9030.00,219.00,170
9030.00,219.00,172
9030.00,220.00,178
9030.00,220.00,176
9030.00,221.00,180
9030.00,221.00,181
9030.00,222.00,280
9030.00,222.00,279
9030.00,223.00,277
9030.00,223.00,275
9030.00,224.00,272
9030.00,224.00,274
9030.00,225.00,269
9030.00,225.00,271
9030.00,226.00,282
9030.00,226.00,283
9030.00,227.00,26
9030.00,227.00,25
9030.00,228.00,288
9030.00,228.00,289
9030.00,230.00,15
9030.00,230.00,13
9030.00,231.00,16
9030.00,231.00,18
9030.00,232.00,19
9030.00,232.00,20
9030.00,233.00,22
9030.00,233.00,23
9030.00,234.00,4
9030.00,234.00,6
9030.00,235.00,3
9030.00,235.00,1
9030.00,236.00,9
9030.00,236.00,7
9030.00,237.00,12
9030.00,237.00,11
9030.00,238.00,39
9030.00,238.00,38
9030.00,239.00,29
9030.00,239.00,28
9030.00,240.00,-130
9030.00,240.00,-132
9030.00,241.00,36
9030.00,241.00,34
9030.00,242.00,40
9030.00,242.00,44
9030.00,243.00,41
9030.00,243.00,43
9030.00,244.00,47
9030.00,244.00,48
9030.00,245.00,31
9030.00,245.00,33
9030.00,246.00,74
9030.00,246.00,78
9030.00,248.00,77
9030.00,248.00,75
9030.00,250.00,400
9030.00,250.00,397
9030.00,251.00,389
9030.00,251.00,391
9030.00,252.00,395
9030.00,252.00,399
9030.00,254.00,154
9030.00,254.00,153
9030.00,255.00,149
9030.00,255.00,151
9030.00,256.00,144
9030.00,256.00,148
9030.00,257.00,147
