"site","x_coord","y_coord"
449.00,602598.43,5284971.50
450.00,602735.43,5285134.00
451.00,602788.56,5285349.00
455.00,604511.12,5284384.50
456.00,604293.00,5284278.00
457.00,604080.50,5284172.00
458.00,604390.87,5284077.00
459.00,604645.37,5284183.00
460.00,604855.06,5284328.50
463.00,605708.25,5284613.00
461.00,605348.18,5284384.00
462.00,605638.68,5284375.50
464.00,606547.06,5284535.00
465.00,606367.00,5284363.50
466.00,606608.43,5284322.50
470.00,607598.56,5284564.00
471.00,607844.06,5284547.50
441.00,604639.56,5287634.00
442.00,604633.56,5287860.00
443.00,604495.06,5287429.50
444.00,604184.93,5287411.50
447.00,603319.50,5286458.00
446.00,603487.31,5286631.00
448.00,603363.25,5286239.50
809.00,604953.62,5291906.50
810.00,604857.06,5292144.00
812.00,604905.37,5292448.50
813.00,604931.31,5292708.50
814.00,605224.68,5292586.00
817.00,605362.06,5292218.50
815.00,605625.75,5292214.50
816.00,605529.18,5292441.00
483.00,593935.75,5283071.00
482.00,594164.12,5283238.50
481.00,594202.18,5284129.00
480.00,594453.37,5284182.50
479.00,594719.81,5284243.50
473.00,597605.12,5284989.50
474.00,597765.00,5285119.00
475.00,597871.56,5285256.00
805.00,598879.62,5287860.00
806.00,598079.50,5286905.00
804.00,598893.75,5287639.00
803.00,598865.50,5287366.00
489.00,591219.06,5287676.50
487.00,591357.31,5287371.00
485.00,591663.06,5287756.00
494.00,591202.31,5287123.50
495.00,591231.62,5286927.00
496.00,591219.06,5286684.00
492.00,590971.93,5287111.00
493.00,590837.93,5286960.50
502.00,588203.50,5283248.50
497.00,589671.18,5284200.50
498.00,589886.87,5284255.50
499.00,590102.56,5284204.50
830.00,595828.00,5292307.50
831.00,595625.56,5292215.50
832.00,595533.50,5292007.00
821.00,596889.43,5292841.50
822.00,596828.06,5292571.50
823.00,596956.93,5292356.50
825.00,596711.50,5293037.50
824.00,596582.68,5292798.50
826.00,596509.06,5292528.50
535.00,675894.31,5295198.50
534.00,675679.06,5295094.00
533.00,675539.43,5294946.50
530.00,675284.50,5294992.50
532.00,675149.12,5295168.50
531.00,675331.87,5295338.00
542.00,671632.06,5291226.50
547.00,671941.56,5291164.00
545.00,672115.43,5291021.50
546.00,672226.68,5290830.00
548.00,672184.93,5290625.00
549.00,672077.18,5290423.50
550.00,671812.87,5290423.50
551.00,671812.87,5290201.00
552.00,671819.81,5289975.00
553.00,672084.12,5289975.00
846.00,651648.12,5295603.50
856.00,651509.93,5295404.50
855.00,651300.00,5295183.50
854.00,651432.62,5294990.50
853.00,651708.87,5295018.00
852.00,651747.56,5294786.00
851.00,651813.87,5294570.50
